meeting_hours_per_week,meeting_counts_per_week,messages_sent_per_day,messages_received_per_day,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,task_comment_sentiment_mean,logged_hours_per_week,variance_in_work_hours,late_start_count_per_month,early_exit_count_per_month,absenteeism_rate,avg_break_length_minutes,performance_score,burnout_risk_score
11.4,15,73,35,11.6,0.17,0.073,1.4,15.7,27,26,0.98,8.6,0.02,0.39,43.9,1.62,4,1,0.012,46.7,0.81,0.43
7.6,13,57,79,12.0,0.4,0.006,0.71,5.0,28,21,0.75,7.3,0.28,-0.22,40.5,1.53,1,2,0.074,42.7,0.58,0.29
5.1,9,86,93,8.1,0.15,0.09,0.91,7.8,30,26,0.85,5.0,0.18,0.02,39.5,1.77,3,0,0.057,49.2,0.74,0.4
3.2,13,74,143,8.6,0.36,0.261,0.6,8.3,15,11,0.75,2.7,0.23,0.29,43.1,0.86,4,1,0.033,76.0,0.71,0.33
8.6,12,50,50,8.1,0.43,0.02,0.98,12.3,21,17,0.83,10.0,0.19,-0.21,46.7,0.49,1,4,0.006,53.1,0.65,0.43
5.7,8,116,158,9.6,0.24,0.088,0.73,10.3,24,18,0.76,2.0,0.29,-0.08,42.6,2.09,1,3,0.063,51.4,0.63,0.36
3.7,10,64,104,14.2,0.54,0.184,0.61,10.4,25,24,0.95,7.9,0.07,-0.14,41.5,1.43,2,2,0.039,56.8,0.68,0.31
6.1,11,33,97,11.7,0.32,0.142,0.6,8.7,22,17,0.78,1.2,0.21,-0.29,39.2,1.71,2,1,0.026,43.4,0.64,0.39
4.8,5,113,94,12.5,0.32,0.179,1.19,6.6,21,17,0.83,8.8,0.19,0.01,43.5,1.07,2,2,0.029,30.5,0.66,0.34
13.1,14,67,86,12.5,0.46,0.227,0.77,15.0,29,24,0.82,9.0,0.25,-0.07,43.3,2.13,1,2,0.04,30.0,0.63,0.47
10.6,9,64,131,14.4,0.41,0.055,0.6,10.3,14,13,0.96,1.0,0.08,0.19,39.1,1.68,2,1,0.044,30.0,0.78,0.42
8.0,9,35,67,11.4,0.34,0.196,0.6,15.1,27,25,0.93,7.3,0.01,0.11,46.1,1.41,1,3,0.065,56.2,0.8,0.39
12.4,10,123,110,11.8,0.1,0.114,1.11,6.4,24,17,0.72,7.1,0.3,-0.06,48.8,1.64,2,2,0.062,50.5,0.65,0.5
8.2,16,47,88,15.9,0.38,0.03,0.6,8.7,18,13,0.72,8.1,0.3,0.3,42.2,0.63,2,1,0.061,42.8,0.67,0.24
5.4,10,81,77,6.7,0.07,0.212,1.04,10.9,25,22,0.87,7.1,0.19,0.23,43.2,1.69,2,1,0.058,80.4,0.72,0.36
12.6,15,102,177,5.7,0.18,0.296,0.6,11.4,21,17,0.83,3.1,0.17,0.03,37.6,2.24,4,1,0.061,44.5,0.73,0.48
9.6,9,90,112,4.1,0.13,0.072,0.8,15.8,22,17,0.78,5.3,0.2,0.05,44.9,1.66,3,0,0.054,30.0,0.72,0.36
4.9,12,78,118,10.9,0.4,0.096,0.66,9.8,19,18,0.94,11.0,0.0,0.01,43.9,1.59,1,0,0.069,56.3,0.74,0.25
7.4,16,37,134,1.0,0.24,0.276,0.6,15.7,14,10,0.74,2.7,0.23,-0.17,40.7,1.34,4,1,0.045,62.4,0.63,0.42
5.4,11,59,57,12.3,0.37,0.195,1.02,13.9,15,15,0.99,7.0,0.07,0.18,39.0,2.04,0,0,0.042,55.8,0.75,0.23
3.9,16,84,152,9.5,0.15,0.128,0.6,11.5,18,13,0.71,9.5,0.3,-0.17,49.4,2.12,1,0,0.056,62.6,0.61,0.37
10.8,12,60,30,15.7,0.22,0.054,1.4,7.2,23,17,0.74,3.0,0.26,0.08,43.5,1.28,2,2,0.013,30.0,0.69,0.43
13.7,18,85,76,6.6,0.15,0.232,1.1,15.8,21,17,0.79,1.7,0.27,0.21,38.3,1.68,2,1,0.062,46.4,0.71,0.44
3.8,12,97,86,9.0,0.63,0.038,1.11,7.4,26,22,0.85,2.2,0.2,-0.13,45.4,1.62,4,2,0.075,32.5,0.67,0.31
9.7,12,104,117,15.6,0.18,0.024,0.88,11.9,22,17,0.76,7.2,0.2,-0.7,42.9,1.7,1,2,0.024,52.8,0.64,0.57
6.0,8,49,106,16.9,0.2,0.146,0.6,11.7,29,27,0.92,2.2,0.14,0.57,42.2,1.11,1,1,0.049,67.8,0.79,0.21
6.5,14,134,94,6.6,0.55,0.076,1.4,11.0,25,20,0.81,5.6,0.11,-0.21,45.9,2.07,1,1,0.003,39.5,0.67,0.37
6.2,11,99,99,10.9,0.37,0.042,0.99,10.1,22,16,0.71,10.1,0.3,-0.14,35.0,1.78,3,0,0.061,54.8,0.68,0.31
5.4,14,79,70,11.5,0.39,0.082,1.11,7.9,26,25,0.96,5.8,0.05,0.26,35.0,2.1,6,1,0.045,31.9,0.78,0.2
8.1,10,107,55,11.9,0.21,0.008,1.4,5.0,28,28,0.98,3.7,0.07,0.45,47.5,0.94,3,1,0.054,44.7,0.79,0.25
5.5,11,139,121,8.7,0.4,0.095,1.14,19.0,15,13,0.89,6.4,0.13,0.51,41.5,0.97,2,1,0.011,37.3,0.76,0.16
8.8,16,44,120,16.4,0.24,0.09,0.6,9.5,22,21,0.94,5.8,0.05,-0.05,40.3,2.53,3,3,0.065,72.0,0.77,0.4
7.8,11,74,147,1.0,0.39,0.152,0.6,11.4,24,18,0.74,7.4,0.26,0.2,36.6,2.07,2,1,0.02,30.0,0.64,0.31
7.3,7,20,76,7.9,0.47,0.203,0.6,11.3,20,16,0.78,10.9,0.3,-0.14,42.8,1.09,1,1,0.055,46.3,0.66,0.44
5.3,11,84,120,12.2,0.3,0.08,0.69,17.5,27,22,0.8,7.2,0.21,0.72,43.3,1.93,2,1,0.047,65.5,0.73,0.21
6.3,14,89,91,12.3,0.62,0.126,0.97,21.7,31,31,0.99,12.1,0.04,0.39,47.8,1.27,0,1,0.052,30.0,0.8,0.22
10.3,11,79,135,16.8,0.43,0.174,0.6,12.8,25,21,0.85,7.4,0.05,0.0,43.5,0.65,2,1,0.004,51.5,0.79,0.39
9.5,8,63,130,16.0,0.3,0.086,0.6,11.2,31,22,0.7,3.7,0.26,-0.39,40.8,0.45,1,1,0.059,46.7,0.57,0.49
5.1,5,28,106,8.6,0.72,0.049,0.6,6.4,22,18,0.81,12.9,0.21,-0.9,43.6,1.49,1,0,0.064,34.8,0.54,0.46
8.3,13,89,89,16.5,0.09,0.104,0.99,5.0,22,15,0.7,5.6,0.22,0.09,46.4,2.28,1,4,0.038,63.2,0.69,0.37
10.3,12,116,128,6.4,0.21,0.074,0.9,5.0,16,12,0.77,2.8,0.26,0.15,45.6,2.26,1,1,0.033,70.7,0.64,0.38
3.0,20,65,119,14.7,0.41,0.034,0.6,8.0,25,21,0.84,13.0,0.13,0.2,44.5,2.13,0,1,0.027,54.9,0.71,0.16
9.6,18,91,79,19.1,0.37,0.083,1.14,5.0,32,26,0.8,3.8,0.15,-0.76,43.1,1.92,2,2,0.074,40.5,0.63,0.57
6.0,13,40,60,16.1,0.03,0.217,0.66,17.4,25,18,0.71,3.7,0.25,-0.53,39.7,1.66,2,2,0.06,30.0,0.59,0.46
9.7,15,91,91,10.5,0.28,0.168,0.99,14.1,32,24,0.73,4.3,0.3,-0.06,37.9,2.08,3,0,0.056,47.7,0.56,0.36
5.7,14,70,145,8.3,0.43,0.101,0.6,10.7,25,22,0.87,6.5,0.15,0.48,37.2,0.49,3,1,0.074,42.7,0.74,0.19
2.6,14,60,134,2.4,0.33,0.114,0.6,17.5,25,23,0.91,8.8,0.05,0.04,43.6,1.99,3,1,0.028,43.6,0.77,0.25
3.1,8,60,66,11.6,0.56,0.115,0.9,6.6,17,14,0.82,1.0,0.22,0.21,44.0,0.94,3,0,0.05,37.5,0.77,0.27
8.1,12,70,64,4.4,0.23,0.035,1.08,7.9,30,28,0.92,8.8,0.12,-0.33,46.4,1.04,3,0,0.055,36.2,0.67,0.48
8.8,11,89,138,6.0,0.63,0.064,0.64,5.0,22,16,0.75,4.3,0.23,-0.07,44.2,1.85,3,1,0.08,45.4,0.68,0.39
5.3,18,47,65,4.0,0.27,0.208,0.71,15.9,25,18,0.74,4.8,0.3,-0.28,46.2,1.96,3,0,0.034,30.0,0.59,0.33
9.9,16,70,115,7.7,0.48,0.123,0.6,7.9,33,31,0.95,11.1,0.1,0.36,41.5,1.2,4,0,0.032,60.5,0.82,0.37
3.0,12,78,81,9.9,0.21,0.177,0.95,12.1,25,20,0.8,6.6,0.24,-0.3,45.1,1.82,0,0,0.007,33.6,0.62,0.46
7.8,13,52,148,11.4,0.75,0.338,0.6,17.0,27,22,0.83,7.3,0.14,0.47,38.0,1.78,0,1,0.008,46.7,0.72,0.35
4.4,21,124,76,7.0,0.24,0.065,1.4,18.9,26,26,0.98,5.9,0.0,0.01,41.8,1.34,1,1,0.041,40.1,0.79,0.26
6.0,14,58,134,15.3,0.56,0.203,0.6,11.9,26,22,0.83,8.3,0.09,-0.31,35.0,1.58,1,1,0.014,54.8,0.7,0.4
8.1,19,63,105,9.0,0.32,0.049,0.6,13.9,21,15,0.7,10.9,0.27,-0.48,42.1,2.54,3,3,0.006,53.9,0.62,0.48
5.4,15,55,107,6.1,0.7,0.076,0.6,7.5,20,20,0.98,1.0,0.0,-0.09,46.9,1.36,2,1,0.077,52.6,0.75,0.34
6.8,13,124,40,11.1,0.17,0.193,1.4,20.4,21,15,0.7,9.3,0.28,-0.07,42.3,1.38,5,0,0.076,30.0,0.6,0.44
11.0,14,93,33,19.8,0.45,0.291,1.4,11.2,32,29,0.9,10.6,0.1,-0.18,44.9,1.58,3,0,0.026,42.1,0.75,0.47
6.3,19,56,93,11.7,0.7,0.114,0.6,12.4,23,18,0.8,7.5,0.29,-0.44,43.1,1.41,1,2,0.063,69.0,0.63,0.4
10.5,13,107,107,8.2,0.34,0.081,0.99,10.0,20,17,0.84,4.0,0.14,0.23,39.7,1.9,0,1,0.07,39.9,0.71,0.37
4.6,10,85,66,2.4,0.37,0.03,1.27,18.0,21,18,0.86,2.5,0.13,-1.0,41.3,2.23,2,0,0.037,60.7,0.64,0.5
9.6,11,86,67,8.9,0.28,0.354,1.26,13.0,25,21,0.82,13.1,0.09,-0.12,46.7,1.38,0,1,0.018,44.8,0.69,0.48
12.3,8,71,116,11.2,0.05,0.24,0.61,15.8,22,21,0.93,3.3,0.18,-0.48,44.9,1.07,6,2,0.01,40.4,0.64,0.57
2.0,6,61,116,8.1,0.1,0.027,0.6,13.8,25,24,0.98,10.6,0.0,-0.16,39.5,2.49,5,0,0.011,47.8,0.79,0.2
5.6,7,88,95,1.7,0.5,0.117,0.92,10.9,21,15,0.73,7.2,0.24,-0.07,36.5,1.56,3,1,0.064,32.5,0.59,0.27
9.7,14,66,123,5.7,0.26,0.064,0.6,16.6,22,21,0.94,12.1,0.09,-0.06,42.8,0.65,2,1,0.031,58.5,0.73,0.42
7.4,8,125,64,17.3,0.19,0.226,1.4,13.7,27,20,0.74,5.0,0.27,-0.26,39.7,2.43,4,0,0.055,32.2,0.58,0.42
9.1,23,48,89,17.2,0.89,0.138,0.6,7.2,17,12,0.72,1.2,0.3,0.16,41.3,2.06,4,1,0.043,53.3,0.65,0.42
6.2,9,118,149,5.6,0.12,0.233,0.79,7.1,27,27,0.99,6.0,0.05,0.05,36.2,2.3,0,3,0.032,61.2,0.75,0.27
8.3,18,77,102,13.4,0.24,0.094,0.75,12.7,29,25,0.85,1.5,0.15,0.49,46.2,2.22,1,1,0.01,51.4,0.76,0.27
7.5,5,87,103,4.1,0.03,0.139,0.84,16.5,35,26,0.75,14.0,0.3,0.01,41.6,2.82,2,0,0.027,36.5,0.59,0.39
11.5,13,100,169,17.0,0.13,0.16,0.6,20.2,27,24,0.87,7.9,0.19,-0.38,42.2,0.98,1,1,0.067,47.8,0.66,0.54
8.8,10,64,58,11.2,0.52,0.138,1.08,5.0,34,26,0.78,8.3,0.19,0.49,38.7,1.1,1,1,0.065,34.0,0.68,0.22
9.0,13,101,123,14.7,0.29,0.282,0.81,12.1,34,29,0.84,8.3,0.21,-0.03,40.9,1.25,2,2,0.002,41.8,0.75,0.49
6.8,9,20,149,1.4,0.46,0.156,0.6,14.4,24,21,0.89,3.9,0.1,0.56,42.5,1.24,3,2,0.011,37.2,0.77,0.24
6.5,11,62,90,13.4,0.57,0.088,0.68,13.5,28,27,0.96,5.6,0.03,-0.01,39.5,1.56,1,2,0.06,33.6,0.75,0.41
6.7,9,56,125,10.0,0.23,0.128,0.6,17.0,30,21,0.7,6.3,0.3,-0.12,41.1,1.26,2,1,0.027,54.5,0.64,0.35
9.2,6,48,70,14.3,0.11,0.119,0.68,15.3,29,22,0.76,11.8,0.22,0.01,47.5,0.91,1,0,0.051,59.8,0.7,0.46
6.7,10,74,79,14.6,0.32,0.003,0.92,7.1,29,21,0.73,2.5,0.25,-0.2,35.0,1.06,4,0,0.045,60.8,0.6,0.3
8.9,6,89,111,10.3,0.39,0.176,0.79,6.9,27,20,0.73,3.8,0.3,0.18,42.7,1.35,1,1,0.052,48.6,0.67,0.35
14.2,15,97,123,7.0,0.4,0.006,0.78,13.6,25,25,0.98,4.9,0.0,0.68,38.9,2.07,2,1,0.004,67.0,0.89,0.33
10.6,12,86,133,13.9,0.78,0.113,0.64,17.0,31,30,0.98,4.0,0.0,-0.59,47.3,1.21,1,0,0.074,34.8,0.71,0.47
7.0,10,63,147,9.7,0.76,0.221,0.6,12.7,25,23,0.92,1.6,0.11,0.24,41.3,1.9,0,0,0.002,64.3,0.77,0.22
11.6,12,89,97,5.6,0.36,0.325,0.91,5.0,28,25,0.89,1.0,0.1,-0.27,37.8,0.84,1,1,0.001,58.6,0.67,0.5
6.8,13,83,135,5.4,0.25,0.099,0.61,6.8,25,24,0.95,1.0,0.1,-0.77,41.1,0.0,0,2,0.018,45.6,0.67,0.42
2.0,15,103,89,2.6,0.18,0.144,1.14,15.5,24,17,0.72,9.3,0.3,-0.04,43.4,1.43,1,1,0.079,48.3,0.62,0.15
5.0,8,99,127,7.4,0.58,0.2,0.77,10.3,29,21,0.74,6.0,0.2,0.06,50.0,1.19,4,1,0.006,60.5,0.65,0.39
2.4,10,80,106,15.5,0.19,0.15,0.75,12.6,27,21,0.8,8.5,0.21,0.1,35.0,1.06,0,1,0.07,54.9,0.7,0.17
6.9,14,57,113,10.9,0.48,0.153,0.6,17.3,24,23,0.95,4.3,0.08,0.13,37.2,1.0,2,1,0.013,48.9,0.74,0.29
8.1,14,63,112,7.4,0.42,0.025,0.6,6.0,16,13,0.84,5.7,0.17,0.19,47.2,1.15,3,2,0.009,38.2,0.76,0.33
13.0,13,66,51,14.0,0.22,0.034,1.27,9.9,26,22,0.85,10.8,0.13,-0.21,36.0,1.01,2,1,0.062,31.1,0.73,0.48
9.0,10,72,66,5.8,0.37,0.067,1.07,9.4,24,18,0.77,10.7,0.22,-0.04,42.0,1.05,1,1,0.068,46.6,0.67,0.39
7.3,11,86,103,10.5,0.29,0.137,0.83,13.8,22,20,0.89,8.8,0.08,0.23,40.1,0.82,2,2,0.063,30.0,0.69,0.31
10.5,11,97,49,9.1,0.22,0.141,1.4,15.9,24,23,0.97,6.6,0.0,0.51,39.4,0.44,3,0,0.019,56.0,0.84,0.33
2.0,15,78,124,13.9,0.18,0.142,0.62,5.0,21,17,0.8,7.6,0.13,-0.01,41.3,0.4,1,0,0.07,30.0,0.66,0.23
8.7,14,80,126,2.1,0.43,0.003,0.63,12.0,24,21,0.89,7.1,0.13,-0.1,40.7,2.73,2,1,0.006,49.6,0.71,0.32
10.3,14,83,109,5.7,0.23,0.12,0.75,16.3,24,19,0.8,5.5,0.16,-0.07,46.2,1.47,4,3,0.027,40.8,0.69,0.33
3.6,16,67,66,1.8,0.22,0.086,1.0,5.0,19,18,0.94,4.8,0.09,-0.35,47.3,2.26,1,0,0.037,38.4,0.75,0.39
11.4,12,56,141,8.7,0.23,0.101,0.6,11.7,24,20,0.84,9.4,0.13,0.2,43.7,1.41,0,0,0.005,40.9,0.68,0.36
9.0,11,36,161,16.1,0.32,0.041,0.6,5.9,24,19,0.8,2.1,0.13,-0.47,41.1,1.43,6,1,0.046,30.0,0.65,0.55
6.8,10,62,104,7.5,0.59,0.126,0.6,8.8,19,16,0.83,10.5,0.15,0.06,43.0,1.65,2,4,0.045,38.4,0.76,0.37
9.9,16,91,115,7.4,0.22,0.061,0.78,5.0,31,23,0.73,5.2,0.3,-0.17,45.2,1.82,1,1,0.079,32.0,0.59,0.48
14.8,16,62,106,14.4,0.31,0.061,0.6,19.0,27,26,0.96,2.1,0.04,-0.4,46.0,0.88,1,0,0.05,32.2,0.72,0.61
8.5,15,74,115,15.3,0.59,0.031,0.64,10.2,39,39,0.99,4.4,0.04,-0.39,43.5,1.31,2,1,0.032,90.0,0.72,0.46
8.7,16,91,96,9.6,0.26,0.052,0.94,8.0,31,26,0.84,3.4,0.17,-0.32,48.1,1.65,3,1,0.063,30.0,0.69,0.47
6.6,10,93,98,13.4,0.18,0.056,0.94,13.6,24,18,0.77,4.3,0.16,-0.17,39.5,0.53,4,0,0.027,50.9,0.63,0.37
5.5,15,53,127,4.6,0.28,0.172,0.6,6.8,23,21,0.9,4.2,0.17,0.37,46.6,2.15,3,3,0.043,33.1,0.71,0.28
10.5,16,104,170,16.9,0.42,0.171,0.61,6.3,23,19,0.84,4.1,0.15,-0.09,44.8,2.03,2,2,0.004,31.3,0.72,0.43
5.4,10,108,57,20.7,0.22,0.134,1.4,19.6,29,22,0.78,5.1,0.16,0.11,39.6,0.45,6,1,0.026,30.0,0.69,0.23
8.2,13,51,96,12.6,0.33,0.103,0.6,21.0,17,12,0.71,5.8,0.26,0.22,42.9,1.06,4,3,0.042,61.9,0.63,0.34
6.6,14,59,64,1.0,0.49,0.283,0.91,9.0,25,24,0.97,8.3,0.02,0.4,43.2,1.55,1,3,0.056,63.1,0.78,0.37
9.4,11,109,147,7.2,0.4,0.165,0.74,17.3,21,20,0.94,5.3,0.1,-0.0,41.4,1.92,3,1,0.008,35.7,0.71,0.4
9.0,15,76,82,13.1,0.05,0.042,0.92,13.8,23,22,0.95,7.0,0.02,-0.13,41.4,2.26,1,0,0.064,58.7,0.78,0.39
11.1,14,24,56,7.9,0.55,0.113,0.6,5.0,23,19,0.83,6.0,0.3,-0.05,35.9,1.18,1,0,0.072,30.0,0.68,0.34
6.5,13,45,119,16.4,0.18,0.101,0.6,7.4,29,27,0.93,7.6,0.03,-0.13,39.2,2.67,3,1,0.022,39.0,0.72,0.32
7.2,9,73,152,12.9,0.2,0.05,0.6,19.8,19,17,0.87,6.1,0.16,0.49,41.0,1.48,2,1,0.061,55.2,0.75,0.16
5.1,7,50,119,6.5,0.36,0.249,0.6,5.0,25,20,0.81,4.1,0.09,0.27,39.7,1.39,1,4,0.014,30.0,0.7,0.22
6.7,16,69,106,10.2,0.44,0.21,0.64,23.4,18,17,0.95,3.2,0.04,0.12,38.6,1.78,2,0,0.042,33.9,0.73,0.33
9.1,15,80,112,5.5,0.74,0.031,0.71,9.1,24,24,1.0,6.6,0.02,0.24,46.2,1.66,6,1,0.064,45.4,0.85,0.33
10.3,10,116,142,9.1,0.15,0.115,0.81,19.9,28,27,0.97,9.8,0.0,0.15,41.6,1.63,1,1,0.031,45.6,0.82,0.41
5.2,9,72,73,7.2,0.4,0.316,0.97,10.5,29,27,0.93,5.3,0.14,-0.15,50.0,2.5,3,2,0.002,30.0,0.7,0.47
10.6,13,106,96,15.9,0.46,0.267,1.09,16.0,37,34,0.92,3.9,0.1,0.15,42.9,1.62,1,2,0.043,78.5,0.73,0.39
12.1,12,115,86,20.6,0.26,0.379,1.32,19.0,28,25,0.9,5.2,0.09,-0.06,46.2,1.01,2,1,0.068,32.3,0.66,0.46
9.2,10,115,64,2.8,0.62,0.236,1.4,18.9,28,27,0.96,4.3,0.07,0.62,41.2,1.08,0,1,0.009,59.3,0.81,0.25
13.6,21,87,90,1.0,0.76,0.074,0.96,9.1,18,15,0.85,4.0,0.12,-0.23,39.4,2.24,1,0,0.002,53.9,0.71,0.46
5.7,17,30,133,8.8,0.4,0.076,0.6,7.7,25,19,0.75,1.7,0.3,-0.05,43.1,1.84,2,4,0.065,32.9,0.68,0.35
4.3,13,91,116,2.4,0.11,0.132,0.78,11.6,17,16,0.93,5.3,0.12,-0.26,47.2,0.72,2,1,0.021,51.9,0.69,0.4
2.7,5,106,119,10.2,0.1,0.121,0.88,5.5,27,26,0.98,6.7,0.04,-0.18,41.6,0.7,2,2,0.029,32.4,0.7,0.29
12.5,13,77,104,13.7,0.36,0.085,0.73,13.2,30,24,0.8,2.8,0.23,-0.66,43.8,1.51,1,1,0.007,46.1,0.59,0.62
10.0,18,123,115,17.5,0.44,0.083,1.06,7.9,24,22,0.93,3.4,0.0,0.22,43.0,1.81,2,1,0.008,57.4,0.8,0.48
7.8,8,101,75,11.0,0.58,0.339,1.33,17.4,33,26,0.78,3.2,0.29,-0.35,41.6,1.16,2,1,0.049,36.6,0.6,0.49
8.8,10,94,90,9.0,0.33,0.094,1.03,9.1,22,22,0.98,1.8,0.01,0.41,41.8,0.66,2,0,0.044,51.2,0.84,0.28
4.6,15,107,105,1.0,0.29,0.316,1.01,5.0,22,20,0.91,3.1,0.15,0.08,38.0,0.94,0,0,0.023,36.4,0.72,0.28
15.0,10,88,108,10.1,0.37,0.266,0.81,19.0,30,26,0.87,5.4,0.17,-0.02,42.0,2.32,3,0,0.036,47.6,0.74,0.57
8.4,9,20,109,10.4,0.35,0.252,0.6,12.9,15,14,0.93,2.0,0.12,-0.44,44.6,1.75,2,1,0.031,46.6,0.64,0.57
8.3,14,67,95,13.2,0.25,0.141,0.7,12.1,26,25,0.94,5.6,0.0,0.27,43.2,2.0,2,1,0.056,39.5,0.7,0.3
10.2,13,109,88,6.5,0.69,0.062,1.22,17.5,27,26,0.97,3.9,0.0,-0.1,42.7,2.08,3,2,0.069,30.0,0.8,0.39
9.4,14,59,180,7.8,0.35,0.074,0.6,16.4,31,30,0.97,3.2,0.14,-0.47,44.9,1.19,1,0,0.061,56.7,0.68,0.46
8.7,14,74,127,2.6,0.1,0.103,0.6,8.2,26,19,0.72,7.1,0.21,0.02,42.8,1.31,1,0,0.0,74.9,0.66,0.31
5.6,10,53,112,1.0,0.33,0.217,0.6,9.8,25,18,0.74,4.1,0.21,-0.49,42.1,1.42,2,1,0.008,47.1,0.61,0.45
9.4,18,124,93,4.5,0.51,0.086,1.32,6.4,18,17,0.95,4.6,0.05,-0.58,44.9,1.71,3,1,0.034,35.8,0.71,0.52
13.6,7,122,86,2.1,0.41,0.096,1.4,5.0,35,34,0.98,9.9,0.02,0.47,42.5,2.04,1,0,0.068,48.1,0.8,0.38
12.0,14,57,96,11.7,0.21,0.131,0.6,14.9,23,18,0.79,3.2,0.18,-0.25,41.1,2.43,3,1,0.019,62.2,0.63,0.59
12.8,7,83,108,7.4,0.69,0.294,0.76,14.0,27,19,0.7,10.7,0.3,-0.72,43.9,1.91,3,2,0.07,64.2,0.5,0.68
6.5,14,62,43,7.3,0.48,0.137,1.4,15.8,26,21,0.8,5.0,0.25,-0.44,41.9,1.91,1,1,0.009,58.7,0.65,0.37
5.0,9,95,52,5.1,0.15,0.065,1.4,18.4,32,26,0.81,2.6,0.18,-0.3,40.9,2.46,1,0,0.006,51.7,0.69,0.38
7.6,12,92,80,1.0,0.11,0.076,1.14,15.9,27,25,0.93,4.3,0.06,0.39,42.6,1.4,2,0,0.073,55.1,0.77,0.25
8.2,20,100,106,17.5,0.22,0.092,0.93,16.3,23,16,0.71,6.2,0.28,-0.68,42.7,2.09,0,0,0.013,46.8,0.56,0.48
11.3,12,88,92,5.0,0.04,0.299,0.95,5.0,25,19,0.76,9.8,0.21,-0.51,37.6,1.79,3,1,0.037,30.7,0.61,0.56
2.9,12,150,144,7.9,0.65,0.083,1.03,10.5,24,23,0.97,8.4,0.0,0.39,43.3,1.81,1,1,0.026,39.3,0.77,0.16
12.6,13,54,55,2.7,0.31,0.154,0.96,16.8,24,18,0.75,6.2,0.27,-0.3,49.4,1.39,3,0,0.012,40.2,0.68,0.57
7.5,9,37,77,14.9,0.12,0.284,0.6,6.2,17,16,0.93,9.8,0.11,0.06,38.1,0.8,2,2,0.051,49.4,0.74,0.48
6.7,10,70,145,10.7,0.33,0.167,0.6,12.5,22,18,0.81,1.0,0.18,-0.23,40.0,1.67,1,1,0.077,30.0,0.64,0.37
5.0,11,40,103,5.9,0.12,0.229,0.6,14.6,20,18,0.9,6.7,0.0,0.71,50.0,1.67,4,1,0.053,52.7,0.82,0.23
3.0,13,42,126,8.0,0.51,0.052,0.6,14.2,21,15,0.72,6.9,0.25,-0.54,38.7,1.21,2,2,0.028,30.0,0.62,0.35
10.5,10,54,161,18.4,0.45,0.016,0.6,13.8,36,28,0.79,7.0,0.26,-0.07,47.1,1.45,2,0,0.057,51.2,0.68,0.39
8.2,11,56,79,9.6,0.44,0.023,0.7,15.0,15,12,0.83,1.2,0.1,0.45,41.1,1.06,2,2,0.011,62.5,0.7,0.23
4.1,14,56,97,9.1,0.36,0.038,0.6,12.9,27,26,0.96,2.9,0.08,-0.09,42.2,1.06,2,1,0.046,58.4,0.77,0.33
4.1,7,92,91,5.3,0.42,0.021,1.0,5.0,16,14,0.87,5.5,0.11,-0.23,41.5,1.26,3,1,0.038,31.6,0.75,0.28
7.0,7,67,41,1.0,0.27,0.153,1.4,14.5,34,24,0.71,9.3,0.29,0.04,43.7,0.84,4,1,0.029,54.4,0.62,0.31
13.0,14,75,90,9.2,0.52,0.047,0.82,13.4,24,23,0.94,11.7,0.03,0.38,35.7,1.21,2,0,0.059,55.6,0.82,0.43
7.2,12,102,126,11.6,0.47,0.057,0.8,5.0,18,13,0.72,4.0,0.23,-0.37,42.7,1.86,2,0,0.009,70.6,0.65,0.35
3.5,13,60,116,15.5,0.35,0.057,0.6,18.9,34,33,0.98,2.1,0.09,0.45,40.4,2.23,4,2,0.043,50.5,0.82,0.2
7.3,11,73,118,1.0,0.58,0.169,0.61,14.7,24,18,0.76,8.4,0.28,-0.16,35.0,2.54,2,1,0.068,60.4,0.64,0.36
7.2,16,89,88,4.4,0.52,0.156,1.0,5.1,26,22,0.85,13.8,0.19,0.07,46.5,1.3,1,2,0.016,38.4,0.72,0.3
2.0,7,31,80,7.1,0.14,0.234,0.6,7.9,27,19,0.72,9.3,0.3,0.25,35.0,2.1,1,1,0.021,32.2,0.67,0.18
7.8,13,20,138,10.0,0.15,0.199,0.6,9.2,23,20,0.87,3.8,0.16,0.17,50.0,1.67,1,0,0.053,58.0,0.78,0.37
7.3,6,88,85,9.3,0.11,0.085,1.02,9.2,18,15,0.85,14.6,0.2,-0.1,44.5,1.38,2,0,0.062,58.2,0.72,0.29
10.1,7,92,108,9.4,0.18,0.351,0.84,13.5,30,25,0.82,8.1,0.14,-0.25,36.6,1.7,0,3,0.023,35.5,0.67,0.52
13.5,12,131,104,12.0,0.4,0.251,1.25,7.1,24,17,0.71,3.6,0.3,0.61,47.4,2.05,0,1,0.029,30.0,0.72,0.43
11.4,13,83,143,5.5,0.78,0.051,0.6,17.6,33,32,0.96,11.8,0.1,-0.24,39.0,1.25,2,1,0.059,46.8,0.76,0.43
7.2,14,100,129,14.7,0.33,0.178,0.77,17.2,30,28,0.94,3.4,0.08,0.12,39.2,1.24,4,2,0.023,45.7,0.7,0.35
4.7,10,75,61,12.2,0.36,0.085,1.21,15.1,26,23,0.89,4.1,0.1,0.16,35.0,1.3,4,0,0.053,48.5,0.74,0.24
